ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate
2026-02-23T17:55:10+00:00,0,,,30,76.075,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:11+00:00,0,,,30,76.049,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:12+00:00,0,,,30,76.047,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:13+00:00,0,,,30,76.022,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:14+00:00,0,,,30,76.053,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:15+00:00,0,,,30,76.016,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:16+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:17+00:00,0,,,30,76.035,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:18+00:00,0,,,30,76.093,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:19+00:00,0,,,30,76.092,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:20+00:00,0,,,30,76.018,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:21+00:00,0,,,30,76.025,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:22+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:23+00:00,0,,,30,76.1,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:24+00:00,0,,,30,76.087,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:25+00:00,0,,,30,76.096,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:26+00:00,0,,,30,76.093,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:27+00:00,0,,,30,76.106,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:28+00:00,0,,,30,76.089,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:29+00:00,0,,,30,76.139,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:30+00:00,0,,,30,76.107,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:31+00:00,0,,,30,76.106,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:32+00:00,0,,,30,76.046,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:33+00:00,0,,,30,76.066,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:34+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:35+00:00,0,,,30,76.102,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:36+00:00,0,,,30,76.053,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:55:37+00:00,0,,,30,76.082,700.0,0,0,345,3201,604.6875,143771.0,0
